epoch,loss,val_loss
0,3.896577385187149,3.2024400547931067
1,3.0591728029251097,3.0424363424903467
2,2.7877249214649202,2.7700769659271813
3,2.6149562108516693,2.6030236150985373
4,2.4847628231048584,2.5038243088507115
5,2.413274728059769,2.8435065723899613
6,2.3612614272832873,2.534153441289314
7,2.3031853158473967,2.4217905980303773
8,2.2786843111515047,2.5179259705364254
9,2.259367292881012,2.487645687017226
10,2.233931750655174,2.4317377819154498
11,2.2182507663965225,2.5123672207495322
12,2.1934785315990446,2.3294899190278877
13,2.179998364329338,2.56462088608204
14,2.1754690467119215,2.4054073453845835
15,2.1530658189058305,2.4990497648267818
16,2.1524223194122314,2.4281849390582035
17,2.141655332326889,2.4014421504242978
18,2.123701022386551,2.4248350634610745
19,2.126691475868225,2.745514348037261
20,2.117097198009491,2.2976885904046824
21,2.119366411805153,2.6528559797688533
22,2.113725137591362,2.667616817736088
23,2.0928434604406356,2.2581274899324977
24,2.1018164205551146,2.822776384371564
25,2.090248331308365,2.2892026237975385
26,2.0878465294837953,2.2869868332282044
27,2.078693722128868,2.2696711273121655
28,2.0800549124479293,2.3622144689237263
29,2.066784462809563,2.3010145071753882
