epoch,loss,val_loss
0,2.037863955140114,2.2345194774014607
1,2.0100944327116013,2.29536112224249
2,1.9934919523000718,2.241669317833463
3,1.9838158956766128,2.231359046652801
4,1.9894516924619674,2.283372355583019
5,1.980142244696617,2.1683501399549328
6,1.9725457260608672,2.3321138875825063
7,1.978955458521843,2.3477649150934434
8,1.973937547802925,2.1397854981565834
9,1.9710728979110719,2.187047027107468
10,1.9622577458620072,2.275273819166915
11,1.9689442100524903,2.2330596106392995
12,1.9612807199954987,2.327099206752347
13,1.959855063199997,2.2397481265820955
14,1.951284924864769,2.235281593369362
15,1.9619671763181687,2.251945945105158
16,1.9718207815885544,2.2361051489536026
17,1.8696253148317337,2.1436916401511743
18,1.8453245681524277,2.1001714718969247
19,1.848786216855049,2.0851726894988154
20,1.8305845878124236,2.0643259773128912
21,1.8255140471458435,2.070606124356277
22,1.820510136127472,2.046465575695038
23,1.8096514992713928,2.0606850898803626
24,1.816144129395485,2.0573123917543796
25,1.8017154655456542,2.0798118853927554
26,1.8066273852586747,2.0591654846990917
27,1.8098699169158936,2.051054552981728
28,1.79690771317482,2.0626639000007083
29,1.8002555516958236,2.046440713835838
